Campaign,C.treat,Position,N Rows,photo,gs,ci,CO2S,Tleaf,Vcmax,Jmax,LMA,se-photo,se-gs,se-ci,se-CO2S,se-Tleaf,se-Vcmax,se-Jmax,se-LMA
May_2014,0C,lower,3,17.79,0.35,284.17,393.28,22.82,67.45,119.74,158.08,1.21,0.03,10.80,1.27,0.23,6.37,10.23,7.11
Oct_2014,0C,lower,3,13.05,0.23,283.17,398.24,24.76,60.50,104.09,167.08,1.58,0.03,2.32,1.19,0.12,5.26,8.13,10.12
Feb_2015,0C,lower,2,17.23,0.26,266.83,393.30,28.00,95.85,126.27,168.13,0.88,0.00,8.17,0.02,0.01,6.37,0.82,2.71
Feb_2016,0C,lower,3,18.90,0.29,268.44,393.43,27.20,95.99,130.78,145.40,0.68,0.01,6.06,0.33,0.27,6.21,6.87,6.53
May_2014,+C,lower,3,16.10,0.21,250.00,393.40,22.33,66.88,120.95,141.00,2.11,0.04,9.38,1.42,0.35,4.71,8.91,2.46
Oct_2014,+C,lower,3,13.53,0.15,237.75,395.05,23.93,62.68,109.09,155.66,0.62,0.01,4.59,0.46,0.03,2.64,2.41,4.65
Feb_2015,+C,lower,3,13.18,0.22,275.39,397.92,27.96,74.15,110.19,182.13,1.59,0.02,5.77,0.37,0.04,8.16,10.90,6.65
Feb_2016,+C,lower,3,17.20,0.22,246.92,394.90,26.80,94.19,133.79,144.94,0.68,0.02,9.87,0.96,0.59,3.74,11.37,17.08
,,,,,,,,,,,,,,,,,,,
May_2014,0C,upper,3,19.93,0.35,281.28,394.68,22.97,74.78,133.33,177.96,0.60,0.06,12.94,0.67,0.24,0.47,3.29,9.87
Oct_2014,0C,upper,3,17.84,0.28,254.44,394.12,23.93,80.47,130.30,195.84,1.07,0.06,27.64,2.09,0.21,3.25,8.80,10.53
Feb_2015,0C,upper,3,20.68,0.33,273.11,395.04,28.06,117.91,167.74,152.75,0.13,0.04,14.25,0.35,0.02,8.16,5.06,5.94
Feb_2016,0C,upper,3,18.37,0.21,234.79,396.59,26.71,107.19,156.53,166.33,0.80,0.01,3.81,0.25,0.05,6.33,9.42,19.23
May_2014,+C,upper,3,19.12,0.29,266.56,394.82,22.89,75.91,145.58,185.74,0.51,0.03,11.57,1.34,0.44,2.02,4.54,5.77
Oct_2014,+C,upper,3,14.95,0.17,230.89,395.08,24.17,75.28,124.94,202.05,0.58,0.02,16.97,1.51,0.17,3.02,4.47,0.42
Feb_2015,+C,upper,3,20.01,0.32,274.94,394.21,28.16,118.93,165.32,164.39,0.30,0.02,3.74,1.01,0.17,3.94,3.68,3.68
Feb_2016,+C,upper,3,16.53,0.24,254.17,395.22,26.60,91.87,155.00,197.55,1.67,0.04,9.44,0.65,0.07,5.45,4.69,16.62
