tree,ring,co2grow,canopy,co2meas,position,id,Photo,gs,Ci,Tleaf,LMA,N-perc,leafw,epi_up,epi_low,stomdenad,stomdenab,stomlengthad,stomlengthab,spi ad,spi ab,meso.mean,sum.mean,leafw.mean.y,epiupper.mean,epilower.mean,mesolay.mean,meso.mean.y,length.par1.mean,sumlength.par.mean,meanlength.par.mean,mean.mesoThick,nrows,gmes,mean_gm.Eglob,mean_gs,mean_ci,mean_cc,drawdown,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Vcmax25,Jmax25,Rd25,Vcmax25-SE,Jmax25-SE,Rd25-SE,Openness,stom-ratio
116,R1,elev,lower,amb,lower,116_lower,14.42,0.18,247,25.43,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,23.785,26.585,5.863134532,3.50040994,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,35.43445614,7,0.114,0.095,0.183857143,247,121,126,,,,,,,,,,,,,,0.535298271
116,R1,elev,lower,elev,lower,116_lower,17.14,0.13,295,25.7,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,23.785,26.585,5.863134532,3.50040994,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,35.43445614,7,0.105,0.091,0.126571429,295,132,163,74.747,102.561,1.132,6.186,3.804,0.663,73.298,103.52,1.277,6.056,3.869,0.674,43.05,0.535298271
116,R1,elev,upper,amb,upper,116_upper,9.66,0.11,247,24.97,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,30.83,30.505,5.469699653,5.833069444,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,36.12199207,7,0.278,0.124,0.113285714,247,212,35,,,,,,,,,,,,,,1.10802775
116,R1,elev,upper,elev,upper,116_upper,11.41,0.09,317,25.02,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,30.83,30.505,5.469699653,5.833069444,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,36.12199207,7,0.164,0.11,0.085428571,317,247,69,86.924,130.799,0.76,12.448,8.204,1.405,87.099,130.157,0.706,13.26,8.645,1.482,78.67666667,1.10802775
117,R1,elev,lower,amb,lower,117_lower,15.51,0.24,274,27.26,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,25.92,27.5,5.808000001,5.754629631,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,32.40368116,6,0.311,0.147,0.241,274,224,50,,,,,,,,,,,,,,0.933884298
117,R1,elev,lower,elev,lower,117_lower,20.78,0.24,380,28.33,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,25.92,27.5,5.808000001,5.754629631,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,32.40368116,7,0.264,0.164,0.238571429,380,301,79,102.309,136.807,2.665,4.409,2.905,0.473,75.098,115.82,2.601,3.533,2.671,0.512,43.27,0.933884298
117,R1,elev,upper,amb,upper,117_upper,12.06,0.14,241,25.16,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,29.31,32.7,7.05611111,4.0875,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,34.15238889,7,0.223,0.138,0.144,241,187,54,,,,,,,,,,,,,,0.519230769
117,R1,elev,upper,elev,upper,117_upper,17.6,0.16,348,25.11,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,29.31,32.7,7.05611111,4.0875,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,34.15238889,6,0.247,0.164,0.156666667,348,277,71,66.85,102.763,1.947,6.87,5.318,0.943,68.015,102.411,2.042,8.236,5.876,1.064,78.67666667,0.519230769
202,R2,amb,lower,amb,lower,202_lower,10.01,0.09,213,25.07,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,28.53,33.15,6.10225,5.709166666,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,37.02522474,7,0.249,0.136,0.094428571,213,172,40,49.2,87.445,1.421,1.696,1.637,0.287,50.257,88.641,1.638,1.638,1.552,0.274,35.515,0.805194805
202,R2,amb,lower,elev,lower,202_lower,10.06,0.06,263,25.21,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,28.53,33.15,6.10225,5.709166666,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,37.02522474,4,0.254,0.128,0.05975,263,223,40,,,,,,,,,,,,,,0.805194805
