Tree,Campaign,Year,Position,Age,Ring,C.treat,Photo,gs,Ci,CO2S.mean,Tleaf,Vcmax,Jmax,LMA,Leaf N,GapFr,Openness,log(Open)
208,DFeb_2016,2016,upper,new,2,0C,20.3,0.241,239.5,397.425,26.235,116.3747074,188.5240928,153.1441976,1.62,,,
209,DFeb_2016,2016,upper,new,2,0C,19.5,0.291,269,393.53,26.11,94.60165503,155.1520791,208.7698456,1.32,,,
301,DFeb_2016,2016,upper,new,3,0C,19.9,0.3005,270.5,395.065,27.13,103.7547626,144.1481184,135.5474601,1.605,,,
302,DFeb_2016,2016,upper,new,3,0C,18.25,0.178,214,397.27,26.975,125.3512337,155.835528,131.9647421,1.745,,,
320,DFeb_2016,2016,upper,new,3,0C,19.7,0.173,200,398.64,25.8,115.5355262,149.454732,116.0804468,1.75,,,
403,DFeb_2016,2016,upper,new,4,+C,20.1,0.319,277,394.525,26.325,100.0391554,166.1802023,240.8163985,1.195,,,
408,DFeb_2016,2016,upper,new,4,+C,12,0.145,249,394.96,26.24,70.41440058,127.1353368,218.6862623,1.37,,,
422,DFeb_2016,2016,upper,new,4,+C,7.5,0.0625,191,395.62,27.38,73.05398026,157.533835,228.745711,1.355,,,
501,DFeb_2016,2016,upper,new,5,+C,19.3,0.3745,295.5,396.885,26.19,91.02535019,164.1311961,199.9683403,1.555,,,
502,DFeb_2016,2016,upper,new,5,+C,22.6,0.399,287,395.74,26.29,105.5467013,181.8906344,181.6658871,1.45,,,
513,DFeb_2016,2016,upper,new,5,+C,13.35,0.1475,232,396.615,27.625,89.70871035,147.1220478,187.7759195,1.285,,,
603,DFeb_2016,2016,upper,new,6,0C,12.1,0.111,212,399.18,26.62,75.85199659,130.9741171,184.0327876,1.37,,,
607,DFeb_2016,2016,upper,new,6,0C,17.35,0.2095,246.5,395.27,27.075,94.59570437,131.4571242,187.9027082,1.56,,,
614,DFeb_2016,2016,upper,new,6,0C,20.9,0.2525,246,395.505,26.355,113.42885,171.5107462,183.9264249,1.58,,,
