Date,ring,tree,canopy,co2grow,id,photo_amb,photo_elev,gmes_amb,gmes_elev,gm_Eglob_amb,gm_Eglob_ele,gs_amb,gs_elev,ci_amb,ci_elev,cc_amb,cc_elev,drawdown_amb,drawdown_elev,leafw,epi_up,epi_low,meso.mean,sum.mean,leafw.mean.y,epiupper.mean,epilower.mean,mesolay.mean,meso.mean.y,length.par1.mean,sumlength.par.mean,meanlength.par.mean
22/10/2014,R1,116,lower,elev,116_lower,14.470506,17.142784,0.114,0.105,0.095,0.091,0.183857143,0.126571429,247,295,121,132,126,163,282.2333333,15.78138889,13.87011111,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583
22/10/2014,R1,116,upper,elev,116_upper,20.560506,25.446894,0.278,0.164,0.124,0.11,0.113285714,0.085428571,247,317,212,247,35,69,304.2142857,,14.43819286,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982
28/10/2014,R1,117,lower,elev,117_lower,15.585798,20.761404,0.311,0.264,0.147,0.164,0.241,0.238571429,274,380,224,301,50,79,290.6,22.62022222,17.97888889,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813
28/10/2014,R1,117,upper,elev,117_upper,12.059831,17.659925,0.223,0.247,0.138,0.164,0.144,0.156666667,241,348,187,277,54,71,323,24.69844444,18.15355555,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593
22/10/2014,R2,202,lower,amb,202_lower,10.009818,9.785828,0.249,0.254,0.136,0.128,0.094428571,0.05975,213,263,172,223,40,40,291.4333333,21.21477778,16.75872222,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778
22/10/2014,R1,202,upper,amb,202_upper,,,0.143,0.163,0.122,0.139,0.300714286,0.319,266,391,122,234,144,157,281.3333333,18.96916667,,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194
28/10/2014,R2,208,lower,amb,208_lower,12.362338,19.923322,0.147,0.12,0.101,0.099,0.114333333,0.143,209,300,126,134,83,166,264.9666667,22.50911111,17.96444444,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889
28/10/2014,R2,208,upper,amb,208_upper,12.29243,18.449213,0.144,0.16,0.103,0.125,0.115166667,0.137833333,209,308,123,192,86,116,319.9333333,19.89844444,13.77833333,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048
28/10/2014,R2,209,upper,amb,209_upper,14.01183,18.546868,0.151,0.28,0.108,0.173,0.176166667,0.177571429,258,361,165,295,93,66,295.1,25.25577778,18.31833333,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889
27/10/2014,R3,301,lower,amb,301_lower,13.232115,14.747207,0.403,0.323,0.19,0.198,0.1384,0.086666667,237,257,205,212,33,45,303.5,21.33955556,20.92277778,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271
